ID,@dDevdCasZpravy,ID_iot_device,Created,Creator_DB,Changed,Changer_DB,actualStateSwitch1,actualStateSwitch2,@iDevdAverageCurrent,countSetSwitch1,countSetSwitch2,currentLimit,detectRain,disableCurrentLimit,disableTemperature,numberOfCycleDown,numberOfCycleUp,numberOfImpulseDown,numberOfImpulseUp,temperature,temperatureError,unitDataFrameError,unitVersionFrameError,unitVersionMajor,unitVersionMinor
603,2021-03-29 13:01:19.000,3,29.03.2021 14:53,sigfox_datafetch,29.03.2021 14:53,sigfox_datafetch,NULL,NULL,0,NULL,NULL,807,0,0,0,12,12,22,30,19.000000,0,0,0,1,5
604,2021-03-29 12:33:42.000,5,29.03.2021 14:53,sigfox_datafetch,NULL,NULL,1,1,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
605,2021-03-29 15:11:31.000,4,2021-03-29 15:29:54.083,sigfox_datafetch,2021-03-29 15:29:54.083,sigfox_datafetch,NULL,NULL,105,NULL,NULL,1316,0,0,0,5283,5308,241,343,17.800000,0,0,0,1,4
606,2021-03-30 12:33:25.000,5,30.03.2021 12:59,sigfox_datafetch,NULL,NULL,1,1,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
607,2021-03-30 13:01:15.000,3,30.03.2021 13:59,sigfox_datafetch,NULL,NULL,NULL,NULL,0,NULL,NULL,0,0,0,0,12,12,0,0,18.800000,0,0,0,1,5
608,2021-03-30 15:11:12.000,4,30.03.2021 15:59,sigfox_datafetch,30.03.2021 15:59,sigfox_datafetch,NULL,NULL,105,NULL,NULL,1317,0,0,0,5283,5308,259,343,21.100000,0,0,0,1,4
609,2021-03-31 12:33:06.000,5,31.03.2021 12:59,sigfox_datafetch,NULL,NULL,1,1,NULL,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
610,2021-04-01 13:00:25.000,3,31.03.2021 13:59,sigfox_datafetch,01.04.2021 13:59,sigfox_datafetch,NULL,NULL,90,NULL,NULL,807,0,0,0,12,12,22,30,19.400000,0,0,0,1,5
611,2021-03-31 13:46:58.000,5,31.03.2021 13:59,sigfox_datafetch,NULL,NULL,1,1,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
612,2021-03-31 15:10:56.000,4,31.03.2021 15:59,sigfox_datafetch,31.03.2021 15:59,sigfox_datafetch,NULL,NULL,108,NULL,NULL,1317,0,0,0,5283,5308,279,343,24.000000,0,0,0,1,4
613,2021-04-02 13:00:09.000,3,01.04.2021 13:59,sigfox_datafetch,02.04.2021 13:59,sigfox_datafetch,NULL,NULL,88,NULL,NULL,807,0,0,0,12,12,22,30,19.700000,0,0,0,1,5
614,2021-04-01 13:46:40.000,5,01.04.2021 13:59,sigfox_datafetch,NULL,NULL,1,0,NULL,0,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
615,2021-04-01 15:10:38.000,4,01.04.2021 15:59,sigfox_datafetch,01.04.2021 15:59,sigfox_datafetch,NULL,NULL,105,NULL,NULL,1317,0,0,0,5283,5308,299,343,24.900000,0,0,0,1,4
616,2021-04-03 12:59:51.000,3,02.04.2021 13:59,sigfox_datafetch,03.04.2021 12:59,sigfox_datafetch,NULL,NULL,89,NULL,NULL,807,0,0,0,12,12,22,30,19.300000,0,0,0,1,5
617,2021-04-02 13:46:22.000,5,02.04.2021 13:59,sigfox_datafetch,NULL,NULL,1,1,NULL,0,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
618,2021-04-02 15:10:17.000,4,02.04.2021 15:59,sigfox_datafetch,02.04.2021 15:59,sigfox_datafetch,NULL,NULL,117,NULL,NULL,1317,0,0,0,5283,5308,321,343,19.600000,0,0,0,1,4
619,2021-04-04 12:59:30.000,3,03.04.2021 13:59,sigfox_datafetch,04.04.2021 12:59,sigfox_datafetch,NULL,NULL,88,NULL,NULL,807,0,0,0,12,12,22,30,18.800000,0,0,0,1,5
620,2021-04-03 13:46:06.000,5,03.04.2021 13:59,sigfox_datafetch,NULL,NULL,1,1,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
621,2021-04-03 15:09:59.000,4,03.04.2021 15:59,sigfox_datafetch,03.04.2021 15:59,sigfox_datafetch,NULL,NULL,125,NULL,NULL,1316,0,0,0,5283,5308,349,343,14.900000,0,0,0,1,4
622,2021-04-05 12:59:12.000,3,04.04.2021 12:59,sigfox_datafetch,05.04.2021 12:59,sigfox_datafetch,NULL,NULL,83,NULL,NULL,807,0,0,0,12,12,22,30,18.900000,0,0,0,1,5
623,2021-04-04 13:45:45.000,5,04.04.2021 13:59,sigfox_datafetch,NULL,NULL,1,1,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
624,2021-04-04 15:09:40.000,4,04.04.2021 15:59,sigfox_datafetch,04.04.2021 15:59,sigfox_datafetch,NULL,NULL,125,NULL,NULL,1317,0,0,0,5283,5308,372,343,15.500000,0,0,0,1,4
625,2021-04-06 12:58:56.000,3,05.04.2021 12:59,sigfox_datafetch,06.04.2021 12:59,sigfox_datafetch,NULL,NULL,82,NULL,NULL,807,0,0,0,12,12,22,30,19.000000,0,0,0,1,5
626,2021-04-05 13:45:27.000,5,05.04.2021 13:59,sigfox_datafetch,NULL,NULL,1,1,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
627,2021-04-05 15:09:22.000,4,05.04.2021 15:59,sigfox_datafetch,05.04.2021 15:59,sigfox_datafetch,NULL,NULL,123,NULL,NULL,1317,0,0,0,5283,5308,396,343,18.600000,0,0,0,1,4
628,2021-04-07 12:58:37.000,3,06.04.2021 12:59,sigfox_datafetch,07.04.2021 12:59,sigfox_datafetch,NULL,NULL,90,NULL,NULL,807,0,0,0,12,12,22,30,18.600000,0,0,0,1,5
629,2021-04-06 13:45:09.000,5,06.04.2021 13:59,sigfox_datafetch,NULL,NULL,1,1,NULL,0,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
630,2021-04-06 15:09:03.000,4,06.04.2021 15:59,sigfox_datafetch,06.04.2021 15:59,sigfox_datafetch,NULL,NULL,118,NULL,NULL,1319,0,0,0,5283,5308,419,343,17.900000,0,0,0,1,4
631,2021-04-08 12:58:17.000,3,07.04.2021 12:59,sigfox_datafetch,08.04.2021 12:59,sigfox_datafetch,NULL,NULL,85,NULL,NULL,808,0,0,0,12,12,22,30,18.400000,0,0,0,1,5
632,2021-04-07 13:44:50.000,5,07.04.2021 13:59,sigfox_datafetch,NULL,NULL,1,1,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
633,2021-04-07 15:08:46.000,4,07.04.2021 15:59,sigfox_datafetch,07.04.2021 15:59,sigfox_datafetch,NULL,NULL,101,NULL,NULL,1320,0,0,0,5283,5308,441,343,18.000000,0,0,0,1,4
634,2021-04-09 12:58:04.000,3,08.04.2021 12:59,sigfox_datafetch,09.04.2021 12:59,sigfox_datafetch,NULL,NULL,83,NULL,NULL,807,0,0,0,12,12,22,30,18.000000,0,0,0,1,5
635,2021-04-08 13:44:33.000,5,08.04.2021 13:59,sigfox_datafetch,NULL,NULL,1,1,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
636,2021-04-08 15:08:27.000,4,08.04.2021 15:59,sigfox_datafetch,08.04.2021 15:59,sigfox_datafetch,NULL,NULL,104,NULL,NULL,1320,0,0,0,5283,5308,458,343,18.500000,0,0,0,1,4
637,2021-04-09 12:58:10.000,3,09.04.2021 12:59,sigfox_datafetch,NULL,NULL,NULL,NULL,0,NULL,NULL,0,0,0,0,12,12,0,0,18.300000,0,0,0,1,5
638,2021-04-09 13:44:14.000,5,09.04.2021 13:59,sigfox_datafetch,NULL,NULL,1,1,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
639,2021-04-09 15:08:14.000,4,2021-04-09 15:59:49.083,sigfox_datafetch,2021-04-09 15:59:49.083,sigfox_datafetch,NULL,NULL,100,NULL,NULL,1320,0,0,0,5283,5308,477,343,20.500000,0,0,0,1,4
640,2021-04-11 12:57:22.000,3,10.04.2021 12:59,sigfox_datafetch,2021-04-11 12:59:47.043,sigfox_datafetch,NULL,NULL,89,NULL,NULL,807,0,0,0,12,12,22,30,17.900000,0,0,0,1,5
