@ID,@dDevdCasZpravy,ID_iot_device,@iDevdAverageCurrent
981,42:40.0,4,69
982,54:14.0,5,NULL
983,42:21.0,4,70
984,53:55.0,5,NULL
985,42:02.0,4,69
986,53:38.0,5,NULL
987,41:44.0,4,69
988,53:20.0,5,NULL
989,41:31.0,4,69
990,53:01.0,5,NULL
991,41:07.0,4,0
992,52:43.0,5,NULL
993,40:49.0,4,0
994,52:24.0,5,NULL
995,41:03.0,4,0
996,52:05.0,5,NULL
997,40:39.0,4,0
998,51:48.0,5,NULL
999,39:53.0,4,67
1000,51:30.0,5,NULL
1039,50:08.0,3,247
1040,55:37.0,3,0
1041,55:19.0,3,213
1042,37:48.0,5,NULL
1043,55:06.0,3,90
1044,37:29.0,5,NULL
1045,37:11.0,5,NULL
1046,54:43.0,3,79
1047,15:50.0,3,0
1048,36:53.0,5,NULL
1049,15:13.0,3,88
1050,36:34.0,5,NULL
1051,14:52.0,3,86
1052,36:16.0,5,NULL
1053,14:35.0,3,82
1054,35:58.0,5,NULL
1055,14:19.0,3,83
1056,35:39.0,5,NULL
1057,14:03.0,3,93
1058,35:21.0,5,NULL
1059,35:03.0,5,NULL
1060,34:45.0,5,NULL
1061,13:25.0,3,82
1062,34:26.0,5,NULL
1063,13:09.0,3,84
1064,34:08.0,5,NULL
1065,12:10.0,3,86
1066,33:50.0,5,NULL
1067,33:31.0,5,NULL
1068,11:52.0,3,83
1069,33:13.0,5,NULL
1070,11:34.0,3,91
1071,32:55.0,5,NULL
1072,11:21.0,3,89
1073,32:36.0,5,NULL
1074,11:25.0,3,0
1075,32:18.0,5,NULL
1076,10:39.0,3,88
1077,31:59.0,5,NULL
1078,10:48.0,3,0
1079,31:42.0,5,NULL
1080,10:36.0,3,0
1081,31:24.0,5,NULL
1082,10:12.0,3,0
1083,31:05.0,5,NULL
1084,30:47.0,5,NULL
1085,30:28.0,5,NULL
1086,08:54.0,3,83
1087,30:10.0,5,NULL
1088,08:36.0,3,88
1089,29:51.0,5,NULL
1090,08:47.0,3,0
1091,29:33.0,5,NULL
1092,29:17.0,5,NULL
1093,07:24.0,3,93
1094,28:56.0,5,NULL
1095,28:39.0,5,NULL
1096,28:20.0,5,NULL
1097,28:02.0,5,NULL
1098,27:43.0,5,NULL
1099,27:28.0,5,NULL
1100,06:09.0,3,86
1101,27:07.0,5,NULL
1102,26:49.0,5,NULL
1103,05:33.0,3,82
1104,26:30.0,5,NULL
1105,26:12.0,5,NULL
1106,04:56.0,3,80
1107,25:54.0,5,NULL
1108,04:38.0,3,91
1109,25:36.0,5,NULL
1110,04:22.0,3,94
1111,25:17.0,5,NULL
1112,04:07.0,3,88
1113,24:59.0,5,NULL
1114,24:40.0,5,NULL
1115,03:26.0,3,86
1116,24:22.0,5,NULL
1117,03:13.0,3,88
1118,24:05.0,5,NULL
1119,02:52.0,3,94
1120,23:46.0,5,NULL
1121,02:40.0,3,0
1122,23:28.0,5,NULL
1123,02:00.0,3,86
1124,23:10.0,5,NULL
1125,01:40.0,3,85
1126,22:51.0,5,NULL
1127,01:22.0,3,83
1128,22:33.0,5,NULL
1129,01:07.0,3,86
1130,22:14.0,5,NULL
1131,01:13.0,3,0
1132,21:56.0,5,NULL
1133,00:31.0,3,86
1134,21:38.0,5,NULL
1135,00:09.0,3,80
1136,21:19.0,5,NULL
1137,59:57.0,3,85
1138,21:01.0,5,NULL
1139,59:36.0,3,84
1140,20:43.0,5,NULL
